Sentence,Rough_POS,Detailed_POS,Lemmatized_Sentence
"Nanguna sa grupo ang New Zealand na may puntos na sampu,",VB.* CC.* NN.* DT.* NN.* NN.* CC.* VB.* NN.* CC.* CD.* PM.*,VBTS CCT NNC DTC NNP NNP CCP VBH NNC CCP CDB PMC,"nanguna sa grupo ang new zealand na may puntos na sampu,",
na mas mataas sa Scotland nang ilang puntos.,CC.* JJ.* JJ.* CC.* NN.* RB.* PR.*_CC.* NN.* PM.*,CCP JJCC JJD CCT NNP RBW PRQ_CCP NNC PMP,na mas taas sa scotland nang ilang puntos.,
"Nasa kailaliman ng grupo ang Portugal na walang puntos,",RB.* NN.* CC.* NN.* DT.* NN.* CC.* VB.*_CC.* NN.* PM.*,RBL NNC CCB NNC DTC NNP CCP VBN_CCP NNC PMC,"nasa ilalim ng grupo ang portugal na wala puntos,",
sunod ang Romania na may isang puntos.,JJ.* DT.* NN.* CC.* VB.* PR.*_CC.* NN.* PM.*,JJD DTC NNP CCP VBH PRI_CCP NNC PMP,sunod ang romania na may isa puntos.,
"Ang ilang personal na detalye ng 3 milyong Britong nagaaral ng pagmaneho na nag-aplay sa 'pagsusulit ng teorya'na nilalaman ng kanilang lisensia ng pagmamaneho ay nawala sa Iowa,",DT.* PR.*_CC.* JJ.* CC.* NN.* CC.* CD.* NN.*_CC.* NN.*_CC.* VB.* CC.* NN.* CC.* VB.* PM.* FW CC.* PM.* VB.* CC.* NN.* PM.* CC.* VB.* CC.* PR.*_CC.* FW CC.* NN.* LM VB.* CC.* NN.* PM.*,DTC PRQ_CCP JJD CCP NNC CCB CDB NNC_CCP NNP_CCP VBTR CCB NNC CCP VBTS PMS FW CCT PMS VBW CCB NNC PMS CCP VBTR CCB PRSP_CCP FW CCB NNC LM VBTS CCT NNP PMC,"ang ilang personal na detalye ng 3 milyong britong nagaaral ng maneho na aplay sa 'pagsusulit ng teorya'na laman ng kanila lisensia ng maneho ay wala sa iowa,",
sa USA.,CC.* NN.* PM.*,CCT NNPA PMP,sa usa.,
"Ang data ay nawala sa hard draib na pagmamay-ari ng Pearson Driving Assessments Ltd,",DT.* NN.* LM VB.* CC.* FW FW CC.* NN.* PM.* NN.* CC.* NN.* NN.* NN.* NN.* PM.*,DTC NNC LM VBTS CCT FW FW CCP NNC PMS NNC CCB NNP NNP NNP NNP PMC,"ang data ay wala sa hard draib na pagmamay-ari ng pearson driving assessments ltd,",
isang pribadong kontratista sa ahensya ng palatuntunan ng pagmamaneho ng UK.,PR.*_CC.* JJ.*_CC.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* PM.*,PRI_CCP JJD_CCP NNC CCT NNC CCB NNC CCB NNC CCB NNPA PMP,isa pribado kontratista sa ahensya ng palatuntunan ng maneho ng uk.,
"Ang mga detalye ay ibinigay ng UK transport Secretary,",DT.* DT.* NN.* LM VB.* CC.* NN.* FW NN.* PM.*,DTC DTCP NNC LM VBOF CCB NNPA FW NNP PMC,"ang mga detalye ay bigay ng uk transport secretary,",
"na si Ruth Kelly,",CC.* DT.* NN.* NN.* PM.*,CCP DTP NNP NNP PMC,"na si ruth kelly,",
sa House of Commons sa,CC.* NN.* FW NN.* CC.*,CCT NNP FW NNP CCT,sa house of commons sa,
30 UTC kahapon.,CD.* NN.* JJ.* PM.*,CDB NNPA JJD PMP,30 utc kahapon.,
Ito ang unang malakihang pagkawala ng data sa UK dahil ang impormasyon sa 25 milyong tao ay nawalan ng HM Revenue noong Oktubre.,PR.* DT.* JJ.*_CC.* JJ.*_CC.* NN.* CC.* NN.* CC.* NN.* CC.* DT.* NN.* CC.* CD.* NN.*_CC.* NN.* LM VB.* CC.* NN.* NN.* RB.*_CC.* NN.* PM.*,PRO DTC JJN_CCP JJD_CCP NNC CCB NNC CCT NNPA CCR DTC NNC CCT CDB NNC_CCP NNC LM VBTS CCB NNPA NNP RBW_CCP NNP PMP,ito ang una malakihang wala ng data sa uk dahil ang impormasyon sa 25 milyong tao ay nawalan ng hm revenue noo oktubre.,
"Sa kaniyang pahayag sa MPs,",CC.* PR.*_CC.* NN.* CC.* NN.* PM.*,CCT PRSP_CCP NNC CCT NNPA PMC,"sa kaniya hayag sa mps,",
"si Ruth Kelly ay kinumpirma na walang impormasyong pam-bangko ang nasa loob ang nawawalang data,",DT.* NN.* NN.* LM VB.* CC.* VB.*_CC.* NN.*_CC.* FW PM.* NN.* DT.* RB.* NN.* DT.* VB.*_CC.* NN.* PM.*,DTP NNP NNP LM VBTS CCP VBN_CCP NNC_CCP FW PMS NNC DTC RBL NNC DTC VBTR_CCP NNC PMC,"si ruth kelly ay kinumpirma na wala impormasyong bangko ang nasa loob ang wala data,",
ni mga petsa ng kapanganakan ng mga indibidwal.,DT.* DT.* NN.* CC.* NN.* CC.* DT.* NN.* PM.*,DTP DTCP NNC CCB NNC CCB DTCP NNC PMP,ni mga petsa ng danak ng mga indibidwal.,
"Idiniin niya na nagawa na ang mga paraan pangseguridad,",VB.* PR.* CC.* VB.* CC.* DT.* DT.* NN.* JJ.* PM.*,VBTS PRS CCP VBTS CCP DTC DTCP NNC JJD PMC,"diin niya na awa na ang mga paraan pangseguridad,",
at ang mga impormasyong inimbak ay hindi naka-ayos na ""puwedeng gamitin o maabot"" sa pamamagitan ng mga anumang karaniwang paraan.,CC.* DT.* DT.* NN.*_CC.* VB.* LM RB.* VB.* PM.* NN.* CC.* PM.* RB.*_CC.* VB.* CC.* VB.* PM.* CC.* NN.* CC.* DT.* PR.*_CC.* JJ.*_CC.* NN.* PM.*,CCA DTC DTCP NNC_CCP VBTS LM RBF VBTS PMS NNC CCP PMS RBT_CCP VBOF CCT VBW PMS CCT NNC CCB DTCP PRI_CCP JJD_CCP NNC PMP,at ang mga impormasyong inimbak ay hindi ayos na ""puwedeng gamit o maabot"" sa pamamagitan ng mga anumang karaniwang paraan.,
"Ang mga kilalang pulitikong tao sa UK ang nagpatuloy na nagmamalasakit tungkol sa parehong tiyak na pagkawala nitong impormasyon,",DT.* DT.* JJ.*_CC.* NN.*_CC.* NN.* CC.* NN.* DT.* VB.* CC.* VB.* RB.* CC.* JJ.*_CC.* JJ.* CC.* NN.* PR.*_CC.* NN.* PM.*,DTC DTCP JJD_CCP NNC_CCP NNC CCT NNPA DTC VBTS CCP VBTR RBR CCT JJC_CCP JJD CCP NNC PRO_CCP NNC PMC,"ang mga kilala pulitiko tao sa uk ang tuloy na nagmamalasakit tungkol sa pareho tiyak na wala nito impormasyon,",
at ang uri ng abilidad ng gobyerno na ligtas na kumalap at magpanatili ng impormasyon.,CC.* DT.* NN.* CC.* NN.* CC.* NN.* CC.* JJ.* CC.* VB.* CC.* VB.* CC.* NN.* PM.*,CCA DTC NNC CCB NNC CCB NNC CCP JJD CCP VBAF CCA VBAF CCB NNC PMP,at ang uri ng abilidad ng gobyerno na ligtas na kalap at tili ng impormasyon.,
"Susan Kramer,",NN.* NN.* PM.*,NNP NNP PMC,"sus kramer,",
"ang kumakatawan sa Liberal na Demokratiko ay sinabing ""Itong palagiang tangka na kumalap ng data,",DT.* VB.*_VB.* CC.* NN.* CC.* NN.* LM VB.*_CC.* PM.* PR.*_CC.* JJ.*_CC.* NN.* CC.* VB.* CC.* NN.* PM.*,DTC VBTR_VBAF CCT NNP CCP NNP LM VBTS_CCP PMS PRO_CCP JJD_CCP NNC CCP VBAF CCB NNC PMC,"ang katawan sa liberal na demokratiko ay sabi ""itong palagiang tangka na kalap ng data,",
"na kumuha ng mas maraming data,",CC.* VB.* CC.* JJ.* JJ.*_CC.* NN.* PM.*,CCP VBAF CCB JJCC JJD_CCP NNC PMC,"na kuha ng mas dami data,",
"para malaman ang mas marami pang tungkol sayo,",CC.* VB.* DT.* JJ.* PR.* RB.*_CC.* RB.* PR.* PM.*,CCT VBW DTC JJCC PRI RBI_CCP RBR PRSP PMC,"para laman ang mas dami pang tungkol sayo,",
"na lalo pa itong pang-ugnayin,",CC.* JJ.* RB.* PR.*_CC.* RB.*_CC.* PM.* FW PM.*,CCP JJCC RBI PRO_CCP RBI_CCP PMS FW PMC,"na lalo pa ito pang-ugnayin,",
ang lahat ng iyan sa tingin ko ay siyang nagiging katanungan."",DT.* PR.* CC.* PR.* CC.* NN.* PR.* LM PR.*_CC.* VB.* NN.* PM.* PM.*,DTC PRI CCB PRO CCT NNC PRS LM PRS_CCP VBTR NNC PMP PMS,ang lahat ng iyan sa tingin ko ay siya igi katanungan."",
"Ang pagpuna ay naka-ukol sa pagkilos ng Gobyerno sa isyu ng Jian Seng sa Senado ng Australia noong ika-28 at ika-29 ng Marso tungkol sa pag-aasikaso ng nawawalang barko,",DT.* NN.* LM RB.* PM.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* NN.* CC.* NN.* CC.* NN.* RB.*_CC.* JJ.* PM.* CD.* CC.* JJ.* PM.* CD.* CC.* NN.* RB.* CC.* CC.* PM.* VB.* CC.* VB.*_CC.* NN.* PM.*,DTC NNC LM RBD PMS NNC CCT NNC CCB NNP CCT NNC CCB NNP NNP CCT NNP CCB NNP RBW_CCP JJN PMS CDB CCA JJN PMS CDB CCB NNP RBR CCT CCR PMS VBTF CCB VBTR_CCP NNC PMC,"ang puna ay ukol sa kilos ng gobyerno sa isyu ng jian seng sa senado ng australia noo ika-28 at ika-29 ng marso tungkol sa pag-aasikaso ng wala barko,",
"ang tangker na Jian Seng,",DT.* FW CC.* NN.* NN.* PM.*,DTC FW CCP NNP NNP PMC,"ang tangker na jian seng,",
na natagpuang iniwan at walang ilaw sa Look ng Carpentaria.,CC.* VB.*_CC.* VB.* CC.* VB.*_CC.* NN.* CC.* NN.* CC.* NN.* PM.*,CCP VBTS_CCP VBOF CCA VBN_CCP NNC CCT NNP CCB NNP PMP,na natagpuang iniwan at wala ilaw sa look ng carpentaria.,
"Si Senador Joe Ludwig (Labor,",DT.* NN.* NN.* NN.* NN.* NN.* PM.*,DTP NNP NNP NNP NNPA NNP PMC,"si senador joe ludwig (labor,",
"Queensland) ay nagtanong sa Ministro ng Hustisya at Senador ng Customs na si Chris Ellison sa Question Time kung paninindigan niya ang pahayag na ginawa niya kahapon na ang pagdiskubre sa Jing Seng ay nagpakita na ang Gobyerno ng Australia ay mayroon sa lugar na ""panghimpapawid at pandagat na pagmamasid para maharang ang bapor sa ganitong pangyayari,",NN.* NN.* LM VB.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* DT.* NN.* NN.* CC.* NN.* NN.* CC.* NN.* PR.* DT.* NN.* CC.* VB.* PR.* JJ.* CC.* DT.* NN.* CC.* NN.* NN.* LM VB.* CC.* DT.* NN.* CC.* NN.* LM VB.* CC.* NN.* CC.* PM.* JJ.* CC.* JJ.* CC.* NN.* CC.* VB.* DT.* NN.* CC.* PR.*_CC.* NN.* PM.*,NNP NNP LM VBTS CCT NNP CCB NNP CCA NNP CCB NNP CCP DTP NNP NNP CCT NNP NNP CCR NNC PRS DTC NNC CCP VBOF PRS JJD CCP DTC NNC CCT NNP NNP LM VBTS CCP DTC NNP CCB NNP LM VBH CCT NNC CCP PMS JJD CCA JJD CCP NNC CCT VBW DTC NNC CCT PRC_CCP NNC PMC,"queensland) ay tano sa ministro ng hustisya at senador ng customs na si chris ellison sa question time kung tindig niya ang hayag na gawa niya hapon na ang diskubre sa jing seng ay kita na ang gobyerno ng australia ay mayroon sa lugar na ""panghimpapawid at pandagat na masid para hara ang bapor sa ganito pangyayari,",
"at iyon ay nagawa na,""",CC.* PR.* LM VB.* RB.* PM.* PM.*,CCA PRO LM VBTS RBI PMC PMS,"at iyon ay awa na,""",
at tinanong kung bakit inabot ang Gobyerno ng dalawang linggo upang maharang ang bapor pagkatapos makapasok sa tubig ng Australia.,CC.* VB.* RB.* RB.* VB.* DT.* NN.* CC.* JJ.*_CC.* NN.* CC.* VB.* DT.* NN.* VB.* VB.* CC.* NN.* CC.* NN.* PM.*,CCA VBOF RBK RBQ VBOF DTC NNP CCB JJN_CCP NNC CCB VBW DTC NNC VBW VBW CCT NNC CCB NNP PMP,at tano kung bakit inabot ang gobyerno ng dalawa linggo upang hara ang bapor tapos pasok sa tubig ng australia.,
"Sumagot si Senador Ellison na sa unang silay sa bapor noong ika-8 ng Marso,",VB.* DT.* NN.* NN.* CC.* CC.* JJ.*_CC.* NN.* CC.* NN.* RB.*_CC.* JJ.* PM.* CD.* CC.* NN.* PM.*,VBAF DTP NNP NNP CCP CCT JJN_CCP NNC CCT NNC RBW_CCP JJN PMS CDB CCB NNP PMC,"sagot si senador ellison na sa una silay sa bapor noo ika-8 ng marso,",
"""wala naman itong ginagawang ilegal,""",PM.*  VB.* RB.* PR.*_CC.* VB.*_CC.* JJ.* PM.* PM.*,PMS  VBN RBI PRO_CCP VBTR_CCP JJD PMC PMS,"""wala naman ito gawa ilegal,""",
"at pinuna ang sinasabi ng Oposisyon na ang barko ay nakalutang nang labimpitong araw,",CC.* VB.*_VB.* DT.* VB.* CC.* NN.* CC.* DT.* NN.* LM VB.*_CC.* RB.* JJ.*_CC.* NN.* PM.*,CCA VBTS_VBOF DTC VBTR CCB NNP CCP DTC NNC LM VBTS_CCP RBD JJN_CCP NNC PMC,"at puna ang sabi ng oposisyon na ang barko ay lutang nang labimpitong araw,",
at sinabi na ""hindi naiulat na ito ay nakalutang sa buong 17 na araw."",CC.* VB.* CC.* PM.* RB.* VB.* CC.* PR.* LM VB.* CC.* PR.*_CC.* CD.* CC.* NN.* PM.* PM.*,CCA VBTS CCP PMS RBF VBTS CCP PRO LM VBTS CCT PRI_CCP CDB CCP NNC PMP PMS,at sabi na ""hindi ulat na ito ay lutang sa buo 17 na araw."",
"Si Ludwig ay nagpatuloy upang sabihin na hindi Customs ang nakakita sa barko ngunit isang ""dumaraang lantsa ng Australia"",",DT.* NN.* LM VB.* CC.* VB.* CC.* RB.* NN.* DT.* VB.* CC.* NN.* CC.* PR.*_CC.* PM.* JJ.*_CC.* NN.* CC.* NN.* PM.* PM.*,DTP NNP LM VBTS CCB VBOF CCP RBF NNP DTC VBTS CCT NNC CCT PRI_CCP PMS JJD_CCP NNC CCB NNP PMS PMC,"si ludwig ay tuloy upang sabi na hindi customs ang kita sa barko ngunit isa ""dumaraang lantsa ng australia"",",
"pero ipinagtanggol ito ni Ellison,",CC.* VB.*_VB.* PR.* DT.* NN.* PM.*,CCT VBTS_VBOF PRO DTP NNP PMC,"pero tanggol ito ni ellison,",
at sinabi na si Ludwig ""ay inaakalang ang mga komersyal na bapor ay walang anumang papel na tingnan ang Australia"" at gusto ni Ellison ""na magtiwala sa ulat sa kanilang hotline at umalis at suriin ang mga bapor."",CC.* VB.* CC.* DT.* NN.* PM.* LM VB.*_CC.* DT.* DT.* JJ.* CC.* NN.* LM VB.*_CC.* PR.*_CC.* NN.* CC.* VB.* DT.* NN.* PM.* CC.* VB.* DT.* NN.* PM.* CC.* VB.* CC.* NN.* CC.* PR.*_CC.* FW CC.* VB.* CC.* VB.* DT.* DT.* NN.* PM.* PM.*,CCA VBTS CCP DTP NNP PMS LM VBTR_CCP DTC DTCP JJD CCP NNC LM VBN_CCP PRI_CCP NNC CCP VBOF DTC NNP PMS CCA VBS DTP NNP PMS CCP VBAF CCT NNC CCT PRSP_CCP FW CCA VBAF CCA VBOF DTC DTCP NNC PMP PMS,at sabi na si ludwig ""ay akala ang mga komersyal na bapor ay wala anumang papel na tingnan ang australia"" at gusto ni ellison ""na tiwala sa ulat sa kanila hotline at alis at suri ang mga bapor."",
"Matapos ang ilang sandali,",VB.* DT.* PR.*_CC.* NN.* PM.*,VBW DTC PRQ_CCP NNC PMC,"tapos ang ilang sandali,",
"si Senador Kerry O'Brien (Labor,",DT.* NN.* NN.* NN.* PM.* NN.* NN.* NN.* PM.*,DTP NNP NNP NNP PMS NNP NNPA NNP PMC,"si senador kerry o'brien (labor,",
"Tasmania) ay pinuna ang pagsasakatuparan ng Gobyerno sa depensa ng baybaying dagat,",NN.* NN.* LM VB.*_VB.* DT.* NN.* CC.* NN.* CC.* NN.* CC.* NN.*_CC.* NN.* PM.*,NNP NNP LM VBTS_VBOF DTC NNC CCB NNP CCT NNC CCB NNC_CCP NNC PMC,"tasmania) ay puna ang pagsasakatuparan ng gobyerno sa depensa ng baybaying dagat,",
"at ipinakita ang mga panganib ng hindi pagpansin sa barko ng labimpitong araw,",CC.* VB.* DT.* DT.* NN.* CC.* RB.* VB.* CC.* NN.* CC.* JJ.*_CC.* NN.* PM.*,CCA VBTS DTC DTCP NNC CCB RBF VBW CCT NNC CCB JJN_CCP NNC PMC,"at kita ang mga panganib ng hindi pansin sa barko ng labimpitong araw,",
at sinabi na ""ito at nagbigay at posibleng magbigay pa ng mga di kilalang panganib sa kapaligiran at kwarantin"" at ang Jian Seng ""ay hindi pinapasok sa pantalan ng,CC.* VB.* CC.* PM.* PR.* CC.* VB.* CC.* RB.*_CC.* VB.* RB.* CC.* DT.* RB.* JJ.*_CC.* NN.* CC.* NN.* CC.* NN.* PM.* CC.* DT.* NN.* NN.* PM.* LM RB.* VB.* CC.* NN.* CC.*,CCA VBTS CCP PMS PRO CCA VBTS CCA RBT_CCP VBW RBI CCB DTCP RBF JJD_CCP NNC CCT NNC CCA NNC PMS CCA DTC NNP NNP PMS LM RBF VBTR CCT NNC CCB,at sabi na ""ito at bigay at posible bigay pa ng mga di kilala panganib sa kapaligiran at kwarantin"" at ang jian seng ""ay hindi pasok sa pantalan ng,
ito ay literal na maaaring may dala ng kung ano pa man."",PR.* LM JJ.* CC.* VB.*_CC.* VB.* JJ.* CC.* RB.* RB.* RB.* RB.* PM.* PM.*,PRO LM JJD CCP VBS_CCP VBH JJD CCB RBK RBQ RBI RBI PMP PMS,ito ay literal na maaari may dala ng kung ano pa man."",
"Si Senador David Johnston (Liberal,",DT.* NN.* NN.* NN.* NN.* NN.* PM.*,DTP NNP NNP NNP NNPA NNP PMC,"si senador david johnston (liberal,",
"Kanlurang Australia) ay nakipagdebate na walang linya ng barko sa lugar kung saan natagpuan ang Jian Seng,",NN.*_CC.* NN.* NN.* LM VB.* CC.* VB.*_CC.* NN.* CC.* NN.* CC.* NN.* RB.* RB.* VB.* DT.* NN.* NN.* PM.*,NNP_CCP NNP NNPA LM VBTS CCP VBN_CCP NNC CCB NNC CCT NNC RBK RBQ VBTS DTC NNP NNP PMC,"kanlurang australia) ay nakipagdebate na wala linya ng barko sa lugar kung saan natagpuan ang jian seng,",
at ang paglalaan ng yaman para sa hindi mapapakinabangang barko ay mag-iiwan lamang ng puwang sa pagtatanggol ng baybayin kahit saan.,CC.* DT.* NN.* CC.* NN.* CC.* CC.* RB.* VB.*_CC.* NN.* LM VB.* PM.* VB.* RB.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* PR.* PM.*,CCA DTC NNC CCB NNC CCT CCT RBF VBW_CCP NNC LM VBW PMS VBTF RBI CCB NNC CCT NNC CCB NNC CCT PRQ PMP,at ang lala ng yaman para sa hindi mapapakinabangang barko ay iwan lamang ng puwang sa tanggol ng baybay kahit saan.,
"Ang pagpatay ay hinihinalang nangyari noong Linggo,",DT.* NN.* LM RB.*_CC.* VB.* RB.*_CC.* NN.* PM.*,DTC NNC LM RBD_CCP VBTS RBW_CCP NNP PMC,"ang patay ay hinala nangyari noo linggo,",
"ika-31 ng Hulyo,",JJ.* PM.* CD.* CC.* NN.* PM.*,JJN PMS CDB CCB NNP PMC,"ika-31 ng hulyo,",
"ayon sa lokal na pulisya,",RB.* CC.* JJ.* CC.* NN.* PM.*,RBR CCT JJD CCP NNC PMC,"ayon sa lokal na pulisya,",
at sinabi din na hindi bababa sa sampung suspek ang tinanong.,CC.* VB.* RB.* CC.* RB.* VB.* CC.* JJ.*_CC.* NN.* DT.* VB.* PM.*,CCA VBTS RBI CCP RBF VBTF CCT JJN_CCP NNC DTC VBOF PMP,at sabi din na hindi baba sa sampu suspek ang tinanong.,
Ang katawan ni Joana Dudushi ay nakita malapit sa kanyang inuupahang bahay kung saan kasama niya ang kanyang ilang buwan pa lang na sanggol.,DT.* NN.* DT.* NN.* NN.* LM VB.* JJ.* CC.* PR.*_CC.* JJ.*_CC.* NN.* RB.* RB.* CC.* PR.* DT.* PR.*_CC.* PR.*_CC.* NN.* RB.* RB.* CC.* NN.* PM.*,DTC NNC DTP NNP NNP LM VBTS JJD CCT PRSP_CCP JJD_CCP NNC RBK RBQ CCB PRS DTC PRSP_CCP PRQ_CCP NNC RBI RBI CCP NNC PMP,ang katawan ni joana dudushi ay kita lapit sa kanya inuupahang bahay kung saan kasama niya ang kanya ilang buwan pa lang na sanggol.,
Napanalunan ng drayber sa NASCAR Sprint Cup Series na si Jimmie Johnson ang kanyang ikalawang sunod na panalo sa serye noong nakaraang Linggo sa 2010 Lenox Industrial Tools 301 sa New Hampshire Motor Speedway.,VB.* CC.* NN.* CC.* NN.* NN.* NN.* NN.* CC.* DT.* NN.* NN.* DT.* PR.*_CC.* JJ.*_CC.* JJ.* CC.* NN.* CC.* NN.* RB.*_CC.* JJ.*_CC.* NN.* CC.* CD.* NN.* NN.* NN.* CD.* CC.* NN.* NN.* NN.* NN.* PM.*,VBTS CCB NNC CCT NNPA NNP NNP NNP CCP DTP NNP NNP DTC PRSP_CCP JJN_CCP JJD CCP NNC CCT NNC RBW_CCP JJD_CCP NNP CCT CDB NNP NNP NNP CDB CCT NNP NNP NNP NNP PMP,napanalunan ng drayber sa nascar sprint cup series na si jimmie johnson ang kanya lawa sunod na panalo sa serye noo nakaraang linggo sa 2010 lenox industrial tools 301 sa new hampshire motor speedway.,
"Ito ang ika-lima niyang panalo sa 2010 serye ng nangungunang propesyonal na serye ng istak na kotse sa US,",PR.* DT.* JJ.* PM.* CD.* PR.*_CC.* NN.* CC.* CD.* NN.* CC.* VB.*_CC.* JJ.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* PM.*,PRO DTC JJN PMS CDB PRS_CCP NNC CCT CDB NNC CCB VBTR_CCP JJD CCP NNC CCB NNC CCP NNC CCT NNPA PMC,"ito ang lima niya panalo sa 2010 serye ng nangungunang propesyonal na serye ng istak na kotse sa us,",
